job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Retail Sales Manager - Paints (Decorative...,Floortec,https://wuzzuf.net/jobs/p/57d4f8a2-ed45-41ed-a8b4-a1e28934d258-Retail-Sales-Manager---Paints-Decorative-Products-Floortec-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2362,"Full Time · Manager · 10-15 Yrs of Exp · Sales · Retail · Retail Sales · Paints · Business · Sales Skills · Sales Planning · Sales Target · Business Development · Sales/Retail - November 22, 2020","6th Of October, Giza",Manager,Full Time,Software Engneering 
Cost Control Manager,Alkan CIT,https://wuzzuf.net/jobs/p/fcb09c68-c108-401f-98c7-a3d780feac0e-Cost-Control-Manager-Alkan-CIT-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2366,"Full Time · Manager · 10-15 Yrs of Exp · Cost Control · Project Management · Civil Engineering · Computer Skills · English · Civil · Cost · Engineering - Construction/Civil/Architecture - November 12, 2020","Maadi, Cairo",Manager,Full Time,Software Engneering 
Digital Marketing Manager,IPC,https://wuzzuf.net/jobs/p/dcf8fc32-a6ef-42fb-b9ca-3ea180d6e457-Digital-Marketing-Manager-IPC-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2367,"Full Time · Manager · 9-15 Yrs of Exp · Marketing · Digital Marketing · Social Media · Online Marketing · Media · Marketing Campaigns · Project Management · Web Design · Communication · Campaigns - November 12, 2020","Cairo, Egypt",Manager,Full Time,Software Engneering 
Projects Manager,Hidden Name,https://wuzzuf.net/jobs/p/d0efb19b-e028-4a16-9434-facd0abda99e-Projects-Manager-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2398,Full Time · Manager · 10-15 Yrs of Exp · Males Only · Engineering · Project Management · Civil Engineering · Management · PMP · Civil · Steel · Steel Fabrication · Project/Program Management - New,"Giza, Egypt",Manager,Full Time,Software Engneering 
Clinical Operations Manager,TCD MENA,https://wuzzuf.net/jobs/p/94300c63-3e0b-428a-ba71-4c20601b88c4-Clinical-Operations-Manager-TCD-MENA-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2391,"Full Time · Manager · 5+ Yrs of Exp · Operations · Management · Medicine · CRO · Clinical Research · Clinical Pathology · English · Computer Skills · ICF GCP · FDA · Project Management - October 22, 2020","Heliopolis, Cairo",Manager,Full Time,Software Engneering 
Senior Marketing Manager,Al Futtaim,https://wuzzuf.net/jobs/p/f2a91500-dfbe-4164-a978-83656b692267-Senior-Marketing-Manager-Al-Futtaim-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2392,"Full Time · Manager · 10-15 Yrs of Exp · Marketing · Social Media · Digital Marketing · Advertising · Management · Digital · Real Estate · Brand Management · Marketing Plan · Marketing Strategy - October 21, 2020","New Cairo, Cairo",Manager,Full Time,Software Engneering 
Senior Graphic Animator,PanExcel,https://wuzzuf.net/jobs/p/cf02e1d1-18e7-45fe-a123-cc976c58d121-Senior-Graphic-Animator-PanExcel-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2393,"Full Time · Manager · 3-6 Yrs of Exp · Graphic Design · Animation · Adobe Photoshop · Adobe Illustrator · Graphics · Design · UI · UX · Web Development · Mobile Applications · Creative/Design/Art - October 29, 2020","Cairo, Egypt",Manager,Full Time,Software Engneering 
Senior Software Engineer,Nana,https://wuzzuf.net/jobs/p/44e43e3f-a449-4f18-804a-89b883f3ee5c-Senior-Software-Engineer-Nana-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=253,"Full Time · Manager · 4+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Engineering · HTML · MySQL · Startup · Programming · Python · UI · Agile · javaScript · React - November 12, 2020","Sheraton, Cairo",Manager,Full Time,Software Engneering 
IT Help Desk Team leader - Multinational FMCG...,Hidden Name,https://wuzzuf.net/jobs/p/7d7512a3-4c7f-41f6-a2a0-d02f8eb04bbd-IT-Help-Desk-Team-leader---Multinational-FMCG-Company-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=244,"Full Time · Manager · 3-5 Yrs of Exp · Computer Science · Help Desk · Information Technology (IT) · Telecom · Engineering · Installation · Automation · Office Automation · Troubleshooting · English - November 22, 2020","Sheikh Zayed, Giza",Manager,Full Time,IT Category
IT Director,Hidden Name,https://wuzzuf.net/jobs/p/9d642f4d-d3bc-45b5-9434-72cb3337ecef-IT-Director-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=241,"Full Time · Senior Management · 15+ Yrs of Exp · IT · Information Technology (IT) · Computer Science · Programming · MBA · Computer Engineering · IT/Software Development - November 12, 2020","Mohandessin, Giza",Manager,Full Time,IT Category
Office Manager,Premier Services and Recruitment,https://wuzzuf.net/jobs/p/8cd9d9e2-858f-4baf-8d32-a4cdadd8ec15-Office-Manager-Premier-Services-and-Recruitment-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2420,"Full Time · Manager · 7-10 Yrs of Exp · Microsoft Office · Office Management · Administration · Secretary · Admin · Finance · English · Sales · Business Administration · Operations · MS Office - October 18, 2020","Garden City, Cairo",Manager,Full Time,Software Engneering 
Microsoft Dynamics AX Operation Manager,CompactSoft International,https://wuzzuf.net/jobs/p/89538ac5-4d0b-472a-bee2-c340b7ac0b8c-Microsoft-Dynamics-AX-Operation-Manager-CompactSoft-International-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2419,"Full Time · Manager · 8-10 Yrs of Exp · Operations · Management · Leadership · Communication · English · Finance · Business · Operation · Information Technology · IT/Software Development - October 19, 2020","New Cairo, Cairo",Manager,Full Time,Software Engneering 
Product Manager,Future Group,https://wuzzuf.net/jobs/p/b9eba114-80c1-44ae-8743-40575845bccf-Product-Manager-Future-Group-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2418,"Full Time · Manager · 5+ Yrs of Exp · Product Management · Information Technology (IT) · Sales · Social Media · English · Communication Skills · Business · Media · Communication · Technical - November 18, 2020","Dokki, Giza",Manager,Full Time,Software Engneering 
Head Of Marketing,Notion International School,https://wuzzuf.net/jobs/p/70a85809-4bd0-43f2-b155-824e91269806-Head-Of-Marketing-Notion-International-School-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2416,"Full Time · Manager · 7+ Yrs of Exp · Sales · Marketing · Google Drive · Microsoft Office · Social Media · Media · E-marketing · SEO · Advertising · Content Management · Content Marketing - October 12, 2020","Giza, Giza",Manager,Full Time,Software Engneering 
Payable Accounting Supervisor,Nile Air,https://wuzzuf.net/jobs/p/6eacc3ac-0457-4fb3-9146-5636231d062a-Payable-Accounting-Supervisor-Nile-Air-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2414,"Full Time · Manager · 7-10 Yrs of Exp · Finance · Payable Supervisor · Accountant · Commerce · MS Office · English · SAP · Financial Analysis · Accounts Payable · Accounting · Accounting/Finance - October 20, 2020","Sheraton, Cairo",Manager,Full Time,Software Engneering 
Farm Manager,Orientals for Urban Development,https://wuzzuf.net/jobs/p/bb31a54d-eaf5-4235-b582-f5738920589d-Farm-Manager-Orientals-for-Urban-Development-Sharqia-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2406,"Full Time · Manager · 5+ Yrs of Exp · Agriculture · Engineering · Production · Operation · Quality Control · Quality Assurance · Farm · Farm Management · Agriculture Engineering - November 22, 2020","10th Of Ramadan City, Sharqia",Manager,Full Time,Software Engneering 
Growth Marketing Manager,Odiggo,https://wuzzuf.net/jobs/p/424a038d-8dea-4aac-8a7a-3eabef43e94d-Growth-Marketing-Manager-Odiggo-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2428,"Full Time · Manager · 3-12 Yrs of Exp · Marketing · SEO · Social Media · Digital Marketing · Growth · Management · Demand Generation · Marketing Growth Hacker · Web Analytics · SEM · MBA · CSS3 - November 4, 2020","Maadi, Cairo",Manager,Full Time,Software Engneering 
Product Manager,Future Group,https://wuzzuf.net/jobs/p/b9eba114-80c1-44ae-8743-40575845bccf-Product-Manager-Future-Group-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2421,"Full Time · Manager · 5+ Yrs of Exp · Product Management · Information Technology (IT) · Sales · Social Media · English · Communication Skills · Business · Media · Communication · Technical - November 18, 2020","Dokki, Giza",Manager,Full Time,Software Engneering 
Marketing Communications Director (Regional - C...,Pillars,https://wuzzuf.net/jobs/p/6692791b-22d6-45b8-a948-60e4ca162abc-Marketing-Communications-Director-Regional---C-Level-Pillars-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2426,"Full Time · Senior Management · 15+ Yrs of Exp · Marcomm · Marketing · Market Research · Management · Medical · EMEA · Marketing/PR/Advertising · C-Level Executive/GM/Director - October 6, 2020","6th Of October, Giza",Manager,Full Time,Software Engneering 
