job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Scrum Master,Cegedim,https://wuzzuf.net/jobs/p/37d3f51a-8f6b-49e7-ba02-b24670d92a76-Scrum-Master-Cegedim-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1377,"Full Time · Experienced · 5+ Yrs of Exp · Information Technology (IT) · Computer Science · Agile · Scrum Master · Software Development · Agile Frameworks · Development · Software · Scrum · XP - October 6, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Web Designer - Backend,Teleperformance - Egypt,https://wuzzuf.net/jobs/p/25a74b4a-1185-4446-b2f1-6931ae3aee30-Web-Designer---Backend-Teleperformance---Egypt-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1361,"Full Time · Experienced · 2+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Microsoft · Web · IT/Software Development - October 6, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Load Testing Engineer,IMS,https://wuzzuf.net/jobs/p/58cc0083-fe2b-422b-8167-2199b35358aa-Load-Testing-Engineer-IMS-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1398,"Part Time · Work From Home · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Quality · Quality Control · Software Testing · Testing · Load Testing · Load · Performance · Software - October 10, 2020","New Cairo, Cairo",Experienced,Full Time And Part Time,Software Engneering 
UI/UX Design/Web Design,Elite Business Services,https://wuzzuf.net/jobs/p/ff7b71ce-81bf-4ff8-ab60-3d966f894f7d-UI-UX-Design-Web-Design-Elite-Business-Services-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1396,"Full Time · Work From Home · Experienced · 10-20 Yrs of Exp · Information Technology (IT) · Computer Science · Web Design · Design · UI · UX · Creative/Design/Art · IT/Software Development - October 5, 2020","Mokattam, Cairo",Experienced,Full Time,Software Engneering 
Business Tax - Senior Analyst,Crowe Egypt - Dr Khaled Abdelaziz Hegazy,https://wuzzuf.net/jobs/p/e309be8b-e8f3-46ad-9e31-af4dfd31c727-Business-Tax---Senior-Analyst-Crowe-Egypt---Dr-Khaled-Abdelaziz-Hegazy-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1394,"Full Time · Experienced · 5-7 Yrs of Exp · Accounting · Finance · Microsoft Office · ACCA · Arabic · English · Research · Analyst · Tax · Banking · Business · Accounting/Finance - September 29, 2020","Cairo, Egypt",Experienced,Full Time,Software Engneering 
Treasury Accountant,El Mansour Development,https://wuzzuf.net/jobs/p/1fbc97c4-99e0-4bf9-8704-555f0765a210-Treasury-Accountant-El-Mansour-Development-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1393,Full Time · Experienced · 5-8 Yrs of Exp · Accounting · Treasury · Finance · Microsoft Office · Financial Analysis · English · Treasury Accounting · Accounting/Finance - New,"Mokattam, Cairo",Experienced,Full Time,Software Engneering 
Business System Analyst,Master Linux,https://wuzzuf.net/jobs/p/ef4cda29-0942-4b5e-975b-eec8798696b9-Business-System-Analyst-Master-Linux-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1392,"Part Time · Experienced · 4+ Yrs of Exp · Business Analysis · System Analysis · Information Technology (IT) · Software · Design · Applications · Development · Software Development · Computer Science - November 5, 2020","Heliopolis, Cairo",Experienced,Full Time And Part Time,Software Engneering 
Senior Quality Control Engineer,TurnDigital,https://wuzzuf.net/jobs/p/895144a6-8191-4ed0-b5b6-b480ebb597c4-Senior-Quality-Control-Engineer-TurnDigital-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1390,"Full Time · Experienced · 2+ Yrs of Exp · Computer Science · Software Testing · Testing · Automation · Quality Control · Quality Assurance · Information Technology (IT) · Software Engineering - November 19, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
HR Officer,Terre des hommes,https://wuzzuf.net/jobs/p/0ff38211-d876-49ec-9666-878caa7a7500-HR-Officer-Terre-des-hommes-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1388,"Full Time · Experienced · 3-5 Yrs of Exp · Human Resources (HR) · Personnel · ngo · Recruitment · English · HR · Microsoft Office · Human Resources · HR Software · Human Resources - November 15, 2020","Downtown, Cairo",Experienced,Full Time,Software Engneering 
Product Manager,ExaServe LLC,https://wuzzuf.net/jobs/p/df829c7d-3628-4219-ba7c-9acf8a359eb9-Product-Manager-ExaServe-LLC-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1385,"Full Time · Experienced · 3-5 Yrs of Exp · Product Management · Marketing · Information Technology (IT) · Project Management · Market Research · Computer Science · Software Development · Product - October 6, 2020","Nasr City, Cairo",Experienced,Full Time,Software Engneering 
