job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Associate Infrastructure Consultant (Identity...,BlueCloud,https://wuzzuf.net/jobs/p/4885def0-f8da-4c9f-98b0-d1e9181c8789-Associate-Infrastructure-Consultant-Identity-Management-BlueCloud-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1673,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Microsoft Identity Manager · MIM · ITI · FIM · Microsoft Active Directory · MS Lync - November 12, 2020","Sheraton, Cairo",Entry Level,Full Time,Software Engneering 
Graphics Designer,Atheel CC,https://wuzzuf.net/jobs/p/919398da-f427-402d-8e3e-ea509e214307-Graphics-Designer-Atheel-CC-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1666,"Full Time · Entry Level · 0-3 Yrs of Exp · Graphic Design · Adobe Photoshop · Design · Adobe Illustrator · Creativity · Creative/Design/Art - November 18, 2020","Maadi, Cairo",Entry Level,Full Time,Software Engneering 
Business Analyst,MidEast Communication Systems,https://wuzzuf.net/jobs/p/e57553c3-c978-42a8-b50d-34241fa19b6b-Business-Analyst-MidEast-Communication-Systems-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1661,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Business Analysis · Analysis · product manager · English · Odoo · Computer Science · Documentation · IT/Software Development - November 16, 2020","New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Junior R&D Engineer,3Brothers,https://wuzzuf.net/jobs/p/92b571f8-3c62-4f82-8e9c-a53b8a4baaa9-Junior-R-D-Engineer-3Brothers-Sharqia-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1676,"Full Time · Entry Level · 1-2 Yrs of Exp · Design · R&D · English · Analysis · Eagle · Matlab · Zemax · Solid Works · Engineering · Electrical Engineering · PCB Design · Dip Trace · Proteus - November 9, 2020","10th Of Ramadan City, Sharqia",Entry Level,Full Time,Software Engneering 
Electronics Engineer - C#,Beta Electronics,https://wuzzuf.net/jobs/p/7d435366-3687-4570-a061-97127e84b570-Electronics-Engineer---C--Beta-Electronics-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1675,"Full Time · Entry Level · 1-5 Yrs of Exp · C# · Engineering · Computer Science · Programming · Electronics · Electronics Engineering · Computer Engineering · IT/Software Development - October 22, 2020","Dokki, Giza",Entry Level,Full Time,Software Engneering 
Accountant,Furqan Group for Education & IT,https://wuzzuf.net/jobs/p/3fe06533-1552-4e74-ae6f-9c41f3c5d9da-Accountant-Furqan-Group-for-Education-IT-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1678,"Full Time · Work From Home · Entry Level · 1+ Yrs of Exp · Accounting · Finance · Financial Analysis · Financial Management · Excel · Accounting Software · zoho · zoho books · English - November 15, 2020","Cairo, Egypt",Entry Level,Full Time,Software Engneering 
Admin Coordinator Real Estate,global building,https://wuzzuf.net/jobs/p/7170f9a1-f5aa-445a-87e4-1b015e99dcfe-Admin-Coordinator-Real-Estate-global-building-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1684,"Full Time · Entry Level · 0-2 Yrs of Exp · Telesales · Customer Care · Customer Support · Customer Service · Information Technology (IT) · Administration · Customer Service/Support · Sales/Retail - October 13, 2020","New Cairo, Cairo",Entry Level,Full Time,Software Engneering 
Telesales Representative,EasyKash,https://wuzzuf.net/jobs/p/7ad1d564-aa09-4607-a02f-13f8e755b530-Telesales-Representative-EasyKash-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1681,"Full Time · Entry Level · 1-3 Yrs of Exp · Telesales · Sales · Sales Skills · Customer Service · business development · Call Center · Communication Skills · English · B2B · Communication - November 8, 2020","Dokki, Giza",Entry Level,Full Time,Software Engneering 
Junior Noc Engineer,Xceed,https://wuzzuf.net/jobs/p/0d453116-0442-4deb-b7cc-5f378bd8c0ca-Junior-Noc-Engineer-Xceed-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1704,"Full Time · Entry Level · 0-2 Yrs of Exp · Engineering · Computer Science · Networks · DHCP · CentOS · AWS · CCNA · ITIL · Telecommunication · Communication · Customer Service · English - November 16, 2020","Maadi, Cairo",Entry Level,Full Time,Software Engneering 
Social Media & Marketing Executive - Alexandria,NetEra,https://wuzzuf.net/jobs/p/ed9fb03d-465e-4bec-aef4-67a7f9d4279f-Social-Media---Marketing-Executive---Alexandria-NetEra-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1703,"Full Time · Entry Level · 1+ Yrs of Exp · Digital Marketing · E-marketing · Market Research · Marketing · Social Media · Visual Design · Social Media Channels · Marketing Strategy · Games · English - October 19, 2020","San Stefano, Alexandria",Entry Level,Full Time,Software Engneering 
